,date,hr,weather,temperature,feels_like_temperature,relative_humidity,windspeed,psi,guest_scooter,registered_scooter
0,2011-12-22,10,cloudy,80.2,109.4,82.0,6.0,35,41,894
1,2011-02-25,11,clear,90.4,120.2,77.0,30.0,30,27,350
2,2011-06-19,5,cloudy,102.2,132.8,78.0,0.0,1,23,82
3,2011-07-01,17,clear,115.8,143.6,21.0,13.0,25,296,2533
4,2011-06-29,18,clear,114.1,143.6,29.0,20.0,6,236,3569
5,2011-09-17,0,clear,85.3,114.8,72.0,11.0,18,83,565
6,2011-09-11,0,clear,98.9,127.4,88.0,0.0,43,89,553
7,2011-07-24,19,clear,119.2,156.2,47.0,11.0,8,210,1194
8,2011-05-07,2,clear,81.9,111.2,82.0,6.0,25,17,331
9,2011-08-18,15,clear,114.1,147.2,46.0,24.0,46,169,827
10,2011-11-13,1,cloudy,76.9,102.2,66.0,13.0,46,37,405
11,2011-09-30,16,clear,98.9,134.6,53.0,15.0,35,186,2087
12,2011-06-10,7,clear,107.3,141.8,66.0,7.0,20,74,1694
13,2011-05-13,1,clear,90.4,120.2,83.0,11.0,29,16,103
14,2011-01-17,16,cloudy,63.3,86.0,47.0,11.0,21,17,536
15,2011-02-22,6,cloudy,56.6,75.2,80.0,19.0,4,0,54
16,2011-01-23,17,clear,58.2,73.4,26.0,26.0,5,13,351
17,2011-12-25,7,clear,65.0,89.6,80.0,7.0,37,-2,33
18,2011-10-05,18,clear,97.2,134.6,53.0,11.0,40,170,3754
19,2011-09-08,8,light snow/rain,98.9,125.6,94.0,9.0,27,19,1316
20,2011-05-13,6,light snow/rain,88.7,118.4,88.0,9.0,38,20,530
21,2011-12-05,20,cloudy,85.3,114.8,82.0,7.0,28,47,1333
22,2011-06-22,21,clear,109.0,145.4,79.0,11.0,19,92,1510
23,2011-06-02,5,clear,102.2,134.6,39.0,15.0,27,7,194
24,2011-04-03,2,clear,68.4,93.2,70.0,9.0,36,17,131
25,2011-06-06,6,clear,95.5,125.6,88.0,0.0,28,33,706
26,2011-12-24,7,clear,71.8,93.2,70.0,24.0,47,-2,70
27,2011-08-25,18,cloudy,107.3,145.4,84.0,9.0,11,93,2640
28,2011-04-16,10,light snow/rain,81.9,111.2,94.0,26.0,19,4,146
29,2011-02-18,7,cloudy,81.9,111.2,77.0,15.0,37,23,756
30,2011-01-21,22,lear,51.5,64.4,41.0,26.0,14,4,233
31,2011-06-07,10,cloudy,110.7,141.8,48.0,13.0,11,111,607
32,2011-04-06,0,clear,71.8,98.6,49.0,7.0,30,-1,110
33,2011-04-03,5,clear,70.1,93.2,65.0,15.0,27,2,27
34,2011-01-28,15,cloudy,63.3,91.4,86.0,0.0,24,1,283
35,2011-10-07,12,clear,97.2,134.6,53.0,0.0,38,185,1223
36,2011-04-08,6,cloudy,75.2,104.0,87.0,0.0,50,4,231
37,2011-05-18,8,clear,93.8,123.8,88.0,19.0,11,77,3001
38,2011-09-06,0,light snow/rain,92.1,122.0,94.0,24.0,43,5,51
39,2011-01-12,5,clear,58.2,78.8,86.0,11.0,47,-2,40
40,2011-10-07,20,clear,92.1,122.0,49.0,0.0,1,88,1171
41,2011-06-17,18,light snow/rain,110.7,141.8,40.0,13.0,43,184,2719
42,2011-03-04,1,cloudy,61.6,82.4,64.0,13.0,42,1,27
43,2011-03-02,20,clear,76.9,100.4,29.0,28.0,44,28,602
44,2011-05-02,19,CLOUDY,98.9,132.8,69.0,9.0,37,139,1879
45,2011-04-21,18,clear,88.7,118.4,25.0,19.0,28,211,2665
46,2011-03-18,22,clear,98.9,134.6,50.0,11.0,44,166,440
47,2011-07-15,7,clear,100.5,132.8,65.0,7.0,27,51,1803
48,2011-03-24,8,light snow/rain,68.4,87.8,100.0,20.0,5,12,839
49,2011-03-05,17,cloudy,87.0,116.6,59.0,24.0,11,182,732
50,2011-04-23,1,cloudy,73.5,98.6,100.0,13.0,38,13,75
51,2011-01-04,12,clear,65.0,87.8,51.0,11.0,1,38,464
52,2011-10-24,13,cloudy,92.1,122.0,64.0,15.0,38,178,965
53,2011-03-21,22,clear,85.3,114.8,88.0,15.0,12,56,425
54,2011-09-22,21,cloudy,100.5,129.2,89.0,6.0,3,81,1360
55,2011-03-16,19,cloudy,83.6,113.0,51.0,22.0,5,53,1049
56,2011-11-01,19,clear,81.9,111.2,58.0,6.0,39,119,1918
57,2011-01-20,13,cloudy,70.1,95.0,45.0,7.0,39,36,600
58,2011-04-25,4,cloudy,90.4,120.2,100.0,0.0,37,5,29
59,2011-07-21,0,cloudy,110.7,149.0,75.0,13.0,3,37,205
60,2011-03-02,19,clear,80.2,109.4,28.0,35.0,33,20,1008
61,2011-04-05,11,light snow/rain,73.5,95.0,81.0,30.0,44,2,130
62,2011-11-04,14,clear,83.6,113.0,47.0,20.0,47,164,1029
63,2011-06-14,4,clear,92.1,122.0,60.0,17.0,13,1,22
64,2011-08-04,20,cloudy,105.6,140.0,74.0,13.0,18,122,1716
65,2011-02-15,5,clear,65.0,82.4,32.0,31.0,49,0,29
66,2011-12-01,2,clear,68.4,87.8,56.0,20.0,19,2,60
67,2011-08-20,22,cloudy,105.6,140.0,74.0,13.0,38,230,1020
